gamma,rho_start,rho_end,paired_trials,apl_lcc_mean_change,apl_lcc_ci95_low,apl_lcc_ci95_high,lcc_fraction_mean_change,lcc_fraction_ci95_low,lcc_fraction_ci95_high,mean_hypergraph_vertex_degree_mean_change,mean_hypergraph_vertex_degree_ci95_low,mean_hypergraph_vertex_degree_ci95_high
1.5,1.5,5.0,25,-3.746659135364004,-4.1432446730751025,-3.350073597652906,0.055466666666666685,0.03732174052469869,0.07361159280863468,5.335333333333333,5.25062032324702,5.420046343419646
2.0,1.5,5.0,25,-4.567352290325857,-5.130513349881991,-4.004191230769724,0.09866666666666667,0.06300284633765088,0.13433048699568245,5.030666666666667,4.9652929836504285,5.096040349682905
2.5,1.5,5.0,25,-4.697138298153246,-5.561486043366231,-3.832790552940261,0.1744,0.10699251266416926,0.24180748733583074,4.721066666666666,4.642827114021762,4.79930621931157
3.0,1.5,5.0,25,-4.306924594883797,-5.4617482486695,-3.1521009410980936,0.3404,0.25062869841915436,0.4301713015808456,4.379733333333333,4.29677617314009,4.462690493526576
