rho,trial,q,sat_seed,size_null_seed,checkpoint_swaps_per_edge,rewire_seed,stage_successful_swaps,stage_attempted_swaps,cumulative_successful_swaps,cumulative_attempted_swaps,stage_acceptance_rate,clustering,degree_sequence_sha256,size_sequence_sha256,sat_degree_sequence_sha256,sat_size_sequence_sha256
3.0,2,464,4148766413,1504734383,200,976879991,46400,46535,92800,93059,0.9970989577737187,0.23298947143813217,6db1fb22304fada335bb13dd98b5c9c1dc9a1a2995fe41a9776dd5caa90d9137,76c7bd0666320ae30fd31f9d03464969ae2dffb12347fcba9705bc386321c9d9,6db1fb22304fada335bb13dd98b5c9c1dc9a1a2995fe41a9776dd5caa90d9137,76c7bd0666320ae30fd31f9d03464969ae2dffb12347fcba9705bc386321c9d9
3.0,3,471,2250537456,370367015,20,3764376936,9420,9448,9420,9448,0.9970364098221846,0.22105456648973548,16b48f88a53d93cf44f9c25738f0c6fff5e83dc5c6ef550a404c0b62a3e1a72a,a5a2bbd076a1bd0df2e34d75840535959250c2645af69a64b21c52978b65eeab,16b48f88a53d93cf44f9c25738f0c6fff5e83dc5c6ef550a404c0b62a3e1a72a,a5a2bbd076a1bd0df2e34d75840535959250c2645af69a64b21c52978b65eeab
3.0,3,471,2250537456,370367015,50,752170425,14130,14156,23550,23604,0.9981633229725911,0.21891454469580576,16b48f88a53d93cf44f9c25738f0c6fff5e83dc5c6ef550a404c0b62a3e1a72a,a5a2bbd076a1bd0df2e34d75840535959250c2645af69a64b21c52978b65eeab,16b48f88a53d93cf44f9c25738f0c6fff5e83dc5c6ef550a404c0b62a3e1a72a,a5a2bbd076a1bd0df2e34d75840535959250c2645af69a64b21c52978b65eeab
3.0,3,471,2250537456,370367015,100,3458509286,23550,23604,47100,47208,0.9977122521606507,0.22291641508482546,16b48f88a53d93cf44f9c25738f0c6fff5e83dc5c6ef550a404c0b62a3e1a72a,a5a2bbd076a1bd0df2e34d75840535959250c2645af69a64b21c52978b65eeab,16b48f88a53d93cf44f9c25738f0c6fff5e83dc5c6ef550a404c0b62a3e1a72a,a5a2bbd076a1bd0df2e34d75840535959250c2645af69a64b21c52978b65eeab
3.0,3,471,2250537456,370367015,200,3849830202,47100,47212,94200,94420,0.9976277217656528,0.2232882028543845,16b48f88a53d93cf44f9c25738f0c6fff5e83dc5c6ef550a404c0b62a3e1a72a,a5a2bbd076a1bd0df2e34d75840535959250c2645af69a64b21c52978b65eeab,16b48f88a53d93cf44f9c25738f0c6fff5e83dc5c6ef550a404c0b62a3e1a72a,a5a2bbd076a1bd0df2e34d75840535959250c2645af69a64b21c52978b65eeab
3.0,4,486,4056389277,1073606520,20,2711994196,9720,9741,9720,9741,0.9978441638435479,0.21253646840806395,08f9dd614f3eb30d2aac55e89896e1d05a71476627133020b11e207de6a462eb,738b1a8c3c3b5b199819d705bd1b4189bdd8237c6e9cc47a8520df2986c1dbc1,08f9dd614f3eb30d2aac55e89896e1d05a71476627133020b11e207de6a462eb,738b1a8c3c3b5b199819d705bd1b4189bdd8237c6e9cc47a8520df2986c1dbc1
3.0,4,486,4056389277,1073606520,50,642137281,14580,14620,24300,24361,0.9972640218878249,0.22073342653212671,08f9dd614f3eb30d2aac55e89896e1d05a71476627133020b11e207de6a462eb,738b1a8c3c3b5b199819d705bd1b4189bdd8237c6e9cc47a8520df2986c1dbc1,08f9dd614f3eb30d2aac55e89896e1d05a71476627133020b11e207de6a462eb,738b1a8c3c3b5b199819d705bd1b4189bdd8237c6e9cc47a8520df2986c1dbc1
3.0,4,486,4056389277,1073606520,100,3572519594,24300,24354,48600,48715,0.9977827050997783,0.21315603010740578,08f9dd614f3eb30d2aac55e89896e1d05a71476627133020b11e207de6a462eb,738b1a8c3c3b5b199819d705bd1b4189bdd8237c6e9cc47a8520df2986c1dbc1,08f9dd614f3eb30d2aac55e89896e1d05a71476627133020b11e207de6a462eb,738b1a8c3c3b5b199819d705bd1b4189bdd8237c6e9cc47a8520df2986c1dbc1
3.0,4,486,4056389277,1073606520,200,1971229633,48600,48725,97200,97440,0.9974345818368394,0.21693825890405424,08f9dd614f3eb30d2aac55e89896e1d05a71476627133020b11e207de6a462eb,738b1a8c3c3b5b199819d705bd1b4189bdd8237c6e9cc47a8520df2986c1dbc1,08f9dd614f3eb30d2aac55e89896e1d05a71476627133020b11e207de6a462eb,738b1a8c3c3b5b199819d705bd1b4189bdd8237c6e9cc47a8520df2986c1dbc1
3.0,5,468,1126769158,402627936,20,546469299,9360,9383,9360,9383,0.9975487583928381,0.23104223342166444,b6a83b1268835cbec79e96e68e2f71241bc4e6c4d7fc5cffe264a5e6e4a6b916,06b205ac2d1796aca9232866e395675fa57dee891d7663a138ac2c8fe061e92b,b6a83b1268835cbec79e96e68e2f71241bc4e6c4d7fc5cffe264a5e6e4a6b916,06b205ac2d1796aca9232866e395675fa57dee891d7663a138ac2c8fe061e92b
