gamma,trial,size,unique_count,unique_proportion,retained_attempts,unique_edges
1.5,29,2,200,0.2418379685610641,1105,827
1.5,29,3,209,0.25272067714631197,1105,827
1.5,29,4,167,0.20193470374848851,1105,827
1.5,29,5,251,0.30350665054413545,1105,827
1.5,30,2,210,0.2485207100591716,1109,845
1.5,30,3,218,0.2579881656804734,1109,845
1.5,30,4,165,0.1952662721893491,1109,845
1.5,30,5,252,0.2982248520710059,1109,845
1.5,31,2,220,0.2558139534883721,1139,860
1.5,31,3,230,0.26744186046511625,1139,860
1.5,31,4,175,0.20348837209302326,1139,860
1.5,31,5,235,0.27325581395348836,1139,860
1.5,32,2,230,0.2619589977220957,1143,878
1.5,32,3,225,0.25626423690205014,1143,878
1.5,32,4,195,0.22209567198177677,1143,878
1.5,32,5,228,0.25968109339407747,1143,878
1.5,33,2,203,0.24816625916870416,1099,818
1.5,33,3,193,0.23594132029339854,1099,818
1.5,33,4,171,0.20904645476772615,1099,818
1.5,33,5,251,0.30684596577017115,1099,818
1.5,34,2,234,0.27304550758459745,1127,857
1.5,34,3,218,0.2543757292882147,1127,857
1.5,34,4,173,0.20186697782963828,1127,857
1.5,34,5,232,0.2707117852975496,1127,857
1.5,35,2,222,0.2566473988439306,1126,865
1.5,35,3,216,0.24971098265895952,1126,865
1.5,35,4,175,0.2023121387283237,1126,865
1.5,35,5,252,0.29132947976878615,1126,865
1.5,36,2,223,0.25810185185185186,1132,864
1.5,36,3,223,0.25810185185185186,1132,864
1.5,36,4,185,0.21412037037037038,1132,864
1.5,36,5,233,0.26967592592592593,1132,864
1.5,37,2,239,0.29800498753117205,1098,802
1.5,37,3,196,0.24438902743142144,1098,802
1.5,37,4,166,0.20698254364089774,1098,802
1.5,37,5,201,0.2506234413965087,1098,802
1.5,38,2,207,0.24879807692307693,1111,832
1.5,38,3,234,0.28125,1111,832
1.5,38,4,153,0.18389423076923078,1111,832
1.5,38,5,238,0.2860576923076923,1111,832
1.5,39,2,212,0.26937738246505716,1049,787
1.5,39,3,194,0.24650571791613723,1049,787
1.5,39,4,155,0.19695044472681067,1049,787
1.5,39,5,226,0.28716645489199494,1049,787
1.5,40,2,188,0.2323856613102596,1083,809
1.5,40,3,202,0.24969097651421507,1083,809
1.5,40,4,163,0.20148331273176762,1083,809
1.5,40,5,256,0.3164400494437577,1083,809
1.5,41,2,218,0.26814268142681424,1081,813
1.5,41,3,200,0.24600246002460024,1081,813
1.5,41,4,178,0.21894218942189422,1081,813
1.5,41,5,217,0.26691266912669126,1081,813
1.5,42,2,244,0.2807825086306099,1121,869
1.5,42,3,207,0.238204833141542,1121,869
1.5,42,4,173,0.19907940161104717,1121,869
1.5,42,5,245,0.2819332566168009,1121,869
1.5,43,2,209,0.2545676004872107,1104,821
1.5,43,3,201,0.24482338611449453,1104,821
1.5,43,4,174,0.21193666260657734,1104,821
1.5,43,5,237,0.28867235079171744,1104,821
1.5,44,2,189,0.22853688029020555,1113,827
1.5,44,3,203,0.24546553808948005,1113,827
1.5,44,4,177,0.2140266021765417,1113,827
1.5,44,5,258,0.31197097944377267,1113,827
1.5,45,2,240,0.28708133971291866,1095,836
1.5,45,3,209,0.25,1095,836
1.5,45,4,176,0.21052631578947367,1095,836
1.5,45,5,211,0.25239234449760767,1095,836
1.5,46,2,207,0.25,1109,828
1.5,46,3,213,0.2572463768115942,1109,828
1.5,46,4,180,0.21739130434782608,1109,828
1.5,46,5,228,0.2753623188405797,1109,828
1.5,47,2,215,0.2625152625152625,1085,819
1.5,47,3,218,0.2661782661782662,1085,819
1.5,47,4,164,0.20024420024420025,1085,819
1.5,47,5,222,0.27106227106227104,1085,819
1.5,48,2,209,0.2536407766990291,1126,824
1.5,48,3,223,0.27063106796116504,1126,824
1.5,48,4,155,0.18810679611650485,1126,824
1.5,48,5,237,0.28762135922330095,1126,824
1.5,49,2,220,0.25943396226415094,1108,848
1.5,49,3,237,0.2794811320754717,1108,848
1.5,49,4,159,0.1875,1108,848
1.5,49,5,232,0.27358490566037735,1108,848
2.0,0,2,236,0.28780487804878047,1101,820
2.0,0,3,204,0.24878048780487805,1101,820
2.0,0,4,153,0.18658536585365854,1101,820
2.0,0,5,227,0.27682926829268295,1101,820
2.0,1,2,227,0.2844611528822055,1094,798
2.0,1,3,203,0.2543859649122807,1094,798
2.0,1,4,158,0.19799498746867167,1094,798
2.0,1,5,210,0.2631578947368421,1094,798
2.0,2,2,236,0.28957055214723926,1071,815
2.0,2,3,199,0.2441717791411043,1071,815
2.0,2,4,178,0.2184049079754601,1071,815
2.0,2,5,202,0.24785276073619633,1071,815
2.0,3,2,199,0.25644329896907214,1049,776
2.0,3,3,214,0.2757731958762887,1049,776
2.0,3,4,142,0.18298969072164947,1049,776
2.0,3,5,221,0.2847938144329897,1049,776
2.0,4,2,239,0.2968944099378882,1064,805
2.0,4,3,207,0.2571428571428571,1064,805
2.0,4,4,159,0.19751552795031055,1064,805
2.0,4,5,200,0.2484472049689441,1064,805
2.0,5,2,218,0.2645631067961165,1089,824
2.0,5,3,235,0.28519417475728154,1089,824
2.0,5,4,166,0.20145631067961164,1089,824
2.0,5,5,205,0.2487864077669903,1089,824
2.0,6,2,228,0.28322981366459626,1071,805
2.0,6,3,190,0.2360248447204969,1071,805
2.0,6,4,164,0.20372670807453416,1071,805
2.0,6,5,223,0.27701863354037265,1071,805
2.0,7,2,240,0.2853745541022592,1128,841
2.0,7,3,224,0.26634958382877527,1128,841
2.0,7,4,175,0.2080856123662307,1128,841
2.0,7,5,202,0.24019024970273484,1128,841
2.0,8,2,210,0.2564102564102564,1090,819
2.0,8,3,192,0.23443223443223443,1090,819
2.0,8,4,180,0.21978021978021978,1090,819
2.0,8,5,237,0.2893772893772894,1090,819
2.0,9,2,210,0.2727272727272727,1073,770
2.0,9,3,209,0.2714285714285714,1073,770
2.0,9,4,154,0.2,1073,770
2.0,9,5,197,0.2558441558441558,1073,770
2.0,10,2,222,0.28425096030729835,1074,781
2.0,10,3,197,0.25224071702944945,1074,781
2.0,10,4,151,0.19334186939820744,1074,781
2.0,10,5,211,0.2701664532650448,1074,781
2.0,11,2,224,0.28247162673392184,1048,793
2.0,11,3,221,0.2786885245901639,1048,793
2.0,11,4,151,0.19041614123581338,1048,793
2.0,11,5,197,0.2484237074401009,1048,793
2.0,12,2,211,0.2701664532650448,1062,781
2.0,12,3,203,0.2599231754161332,1062,781
2.0,12,4,152,0.1946222791293214,1062,781
2.0,12,5,215,0.2752880921895006,1062,781
2.0,13,2,219,0.27003699136868065,1067,811
2.0,13,3,229,0.28236744759556104,1067,811
2.0,13,4,152,0.187422934648582,1067,811
2.0,13,5,211,0.2601726263871763,1067,811
2.0,14,2,209,0.25211097708082025,1095,829
2.0,14,3,221,0.26658624849215923,1095,829
2.0,14,4,174,0.20989143546441497,1095,829
2.0,14,5,225,0.27141133896260555,1095,829
2.0,15,2,227,0.2848180677540778,1048,797
2.0,15,3,213,0.2672521957340025,1048,797
2.0,15,4,160,0.20075282308657466,1048,797
2.0,15,5,197,0.24717691342534504,1048,797
2.0,16,2,221,0.27183271832718325,1075,813
2.0,16,3,213,0.26199261992619927,1075,813
2.0,16,4,167,0.2054120541205412,1075,813
2.0,16,5,212,0.2607626076260763,1075,813
2.0,17,2,210,0.2727272727272727,1036,770
2.0,17,3,208,0.2701298701298701,1036,770
2.0,17,4,149,0.19350649350649352,1036,770
2.0,17,5,203,0.2636363636363636,1036,770
2.0,18,2,221,0.27728983688833125,1062,797
2.0,18,3,197,0.24717691342534504,1062,797
2.0,18,4,142,0.178168130489335,1062,797
2.0,18,5,237,0.2973651191969887,1062,797
2.0,19,2,240,0.2912621359223301,1099,824
2.0,19,3,207,0.2512135922330097,1099,824
2.0,19,4,145,0.17597087378640777,1099,824
2.0,19,5,232,0.2815533980582524,1099,824
2.0,20,2,224,0.28681177976952626,1058,781
2.0,20,3,205,0.26248399487836105,1058,781
2.0,20,4,151,0.19334186939820744,1058,781
2.0,20,5,201,0.2573623559539053,1058,781
2.0,21,2,220,0.2777777777777778,1076,792
2.0,21,3,226,0.28535353535353536,1076,792
2.0,21,4,138,0.17424242424242425,1076,792
2.0,21,5,208,0.26262626262626265,1076,792
2.0,22,2,228,0.2871536523929471,1082,794
