panel,group,rho,trial,model,clustering
gamma,2.5,2.5,2,Sat-RSH,0.6149574314574315
gamma,2.5,2.5,3,Sat-RSH,0.584929773929774
gamma,2.5,2.5,4,Sat-RSH,0.5793032708032708
gamma,2.5,2.5,5,Sat-RSH,0.6129935804935805
gamma,2.5,2.5,6,Sat-RSH,0.5903257298257297
gamma,2.5,2.5,7,Sat-RSH,0.6056330336330337
gamma,2.5,2.5,8,Sat-RSH,0.5969922114922115
gamma,2.5,2.5,9,Sat-RSH,0.5733949383949384
gamma,2.5,2.5,10,Sat-RSH,0.6048493543493544
gamma,2.5,2.5,11,Sat-RSH,0.5836125541125541
gamma,2.5,2.5,12,Sat-RSH,0.6024274984274984
gamma,2.5,2.5,13,Sat-RSH,0.6394258334258335
gamma,2.5,2.5,14,Sat-RSH,0.5912560772560772
gamma,2.5,2.5,15,Sat-RSH,0.6339397269397269
gamma,2.5,2.5,16,Sat-RSH,0.5953225108225109
gamma,2.5,2.5,17,Sat-RSH,0.6219042809042808
gamma,2.5,2.5,18,Sat-RSH,0.6253059163059163
gamma,2.5,2.5,19,Sat-RSH,0.5988701298701299
gamma,2.5,2.5,20,Sat-RSH,0.5935783105783106
gamma,2.5,2.5,21,Sat-RSH,0.6251886076886076
gamma,2.5,2.5,22,Sat-RSH,0.6099518629518629
gamma,2.5,2.5,23,Sat-RSH,0.562505772005772
gamma,2.5,2.5,24,Sat-RSH,0.5759420394420394
gamma,2.5,2.5,25,Sat-RSH,0.5876642061642062
gamma,2.5,2.5,26,Sat-RSH,0.6221046176046177
gamma,2.5,2.5,27,Sat-RSH,0.5824156214156214
gamma,2.5,2.5,28,Sat-RSH,0.6031729196729196
gamma,2.5,2.5,29,Sat-RSH,0.6173739778739779
gamma,2.5,3.0,0,Sat-RSH,0.5776866096866097
gamma,2.5,3.0,1,Sat-RSH,0.5836067821067821
gamma,2.5,3.0,2,Sat-RSH,0.6077313797313798
gamma,2.5,3.0,3,Sat-RSH,0.575538887038887
gamma,2.5,3.0,4,Sat-RSH,0.6036572871572872
gamma,2.5,3.0,5,Sat-RSH,0.6087407407407408
gamma,2.5,3.0,6,Sat-RSH,0.5835873385873386
gamma,2.5,3.0,7,Sat-RSH,0.5766709956709957
gamma,2.5,3.0,8,Sat-RSH,0.6013134828134827
gamma,2.5,3.0,9,Sat-RSH,0.5862914862914863
gamma,2.5,3.0,10,Sat-RSH,0.5868169793169794
gamma,2.5,3.0,11,Sat-RSH,0.5823985088985089
gamma,2.5,3.0,12,Sat-RSH,0.595077256077256
gamma,2.5,3.0,13,Sat-RSH,0.5950169645169645
gamma,2.5,3.0,14,Sat-RSH,0.5773502053502054
gamma,2.5,3.0,15,Sat-RSH,0.6032091982091982
gamma,2.5,3.0,16,Sat-RSH,0.6003341288341288
gamma,2.5,3.0,17,Sat-RSH,0.567981462981463
gamma,2.5,3.0,18,Sat-RSH,0.6012337662337662
gamma,2.5,3.0,19,Sat-RSH,0.6088424723424724
gamma,2.5,3.0,20,Sat-RSH,0.5998934583934583
gamma,2.5,3.0,21,Sat-RSH,0.5898321308321308
gamma,2.5,3.0,22,Sat-RSH,0.6168724238724239
gamma,2.5,3.0,23,Sat-RSH,0.5706472601472602
gamma,2.5,3.0,24,Sat-RSH,0.5821572316572317
gamma,2.5,3.0,25,Sat-RSH,0.5729387279387279
gamma,2.5,3.0,26,Sat-RSH,0.6142583897583898
gamma,2.5,3.0,27,Sat-RSH,0.5916531061531061
gamma,2.5,3.0,28,Sat-RSH,0.5933767158767158
gamma,2.5,3.0,29,Sat-RSH,0.597440873940874
gamma,2.5,3.5,0,Sat-RSH,0.5999513264513264
gamma,2.5,3.5,1,Sat-RSH,0.5893556443556444
gamma,2.5,3.5,2,Sat-RSH,0.5886297036297037
gamma,2.5,3.5,3,Sat-RSH,0.5676681096681097
gamma,2.5,3.5,4,Sat-RSH,0.5911492581492581
gamma,2.5,3.5,5,Sat-RSH,0.6143618788618789
gamma,2.5,3.5,6,Sat-RSH,0.5658514078514079
gamma,2.5,3.5,7,Sat-RSH,0.5834977614977614
gamma,2.5,3.5,8,Sat-RSH,0.5825917230917231
gamma,2.5,3.5,9,Sat-RSH,0.5895111925111925
gamma,2.5,3.5,10,Sat-RSH,0.5877370777370777
gamma,2.5,3.5,11,Sat-RSH,0.5966560846560847
gamma,2.5,3.5,12,Sat-RSH,0.577521645021645
gamma,2.5,3.5,13,Sat-RSH,0.5703723868723869
gamma,2.5,3.5,14,Sat-RSH,0.5913455988455989
gamma,2.5,3.5,15,Sat-RSH,0.5926669256669257
gamma,2.5,3.5,16,Sat-RSH,0.5809060754060754
gamma,2.5,3.5,17,Sat-RSH,0.5645993635993636
gamma,2.5,3.5,18,Sat-RSH,0.6073376623376623
gamma,2.5,3.5,19,Sat-RSH,0.5733424538424539
gamma,2.5,3.5,20,Sat-RSH,0.5700767565767565
gamma,2.5,3.5,21,Sat-RSH,0.5711461501461502
gamma,2.5,3.5,22,Sat-RSH,0.5749701964701965
gamma,2.5,3.5,23,Sat-RSH,0.5719071669071669
gamma,2.5,3.5,24,Sat-RSH,0.5875599585599586
gamma,2.5,3.5,25,Sat-RSH,0.5941367706367706
gamma,2.5,3.5,26,Sat-RSH,0.5906173641173641
gamma,2.5,3.5,27,Sat-RSH,0.5771637806637807
gamma,2.5,3.5,28,Sat-RSH,0.560943167943168
gamma,2.5,3.5,29,Sat-RSH,0.5936224516224516
gamma,2.5,4.0,0,Sat-RSH,0.5645323195323195
gamma,2.5,4.0,1,Sat-RSH,0.5732407962407963
gamma,2.5,4.0,2,Sat-RSH,0.5891576571576571
gamma,2.5,4.0,3,Sat-RSH,0.5837130832130832
gamma,2.5,4.0,4,Sat-RSH,0.5853402893402894
gamma,2.5,4.0,5,Sat-RSH,0.5748576423576424
gamma,2.5,4.0,6,Sat-RSH,0.5812647537647537
gamma,2.5,4.0,7,Sat-RSH,0.5885672845672846
gamma,2.5,4.0,8,Sat-RSH,0.585467661967662
gamma,2.5,4.0,9,Sat-RSH,0.5730034225034225
gamma,2.5,4.0,10,Sat-RSH,0.5692786842786842
gamma,2.5,4.0,11,Sat-RSH,0.5711038406038407
gamma,2.5,4.0,12,Sat-RSH,0.5533382543382543
gamma,2.5,4.0,13,Sat-RSH,0.5667215932215932
gamma,2.5,4.0,14,Sat-RSH,0.5551882561882562
gamma,2.5,4.0,15,Sat-RSH,0.5688809523809524
gamma,2.5,4.0,16,Sat-RSH,0.5735411995411995
gamma,2.5,4.0,17,Sat-RSH,0.572618289118289
gamma,2.5,4.0,18,Sat-RSH,0.560982905982906
gamma,2.5,4.0,19,Sat-RSH,0.5718589558589559
gamma,2.5,4.0,20,Sat-RSH,0.5899380804380804
gamma,2.5,4.0,21,Sat-RSH,0.5590963480963481
gamma,2.5,4.0,22,Sat-RSH,0.5778003108003108
gamma,2.5,4.0,23,Sat-RSH,0.5920416065416065
gamma,2.5,4.0,24,Sat-RSH,0.5739935064935066
gamma,2.5,4.0,25,Sat-RSH,0.5629532319532319
gamma,2.5,4.0,26,Sat-RSH,0.5631035816035816
gamma,2.5,4.0,27,Sat-RSH,0.5705971435971435
gamma,2.5,4.0,28,Sat-RSH,0.5606417471417472
gamma,2.5,4.0,29,Sat-RSH,0.565024087024087
gamma,2.5,4.5,0,Sat-RSH,0.5704455544455544
gamma,2.5,4.5,1,Sat-RSH,0.5774130684130684
gamma,2.5,4.5,2,Sat-RSH,0.5985282865282865
gamma,2.5,4.5,3,Sat-RSH,0.5815384800384801
gamma,2.5,4.5,4,Sat-RSH,0.5643885928885929
gamma,2.5,4.5,5,Sat-RSH,0.5617205202205202
gamma,2.5,4.5,6,Sat-RSH,0.5662010397010397
gamma,2.5,4.5,7,Sat-RSH,0.5517006327006327
gamma,2.5,4.5,8,Sat-RSH,0.5580598660598661
gamma,2.5,4.5,9,Sat-RSH,0.5575249565249565
gamma,2.5,4.5,10,Sat-RSH,0.5677957967957968
gamma,2.5,4.5,11,Sat-RSH,0.5712283087283087
gamma,2.5,4.5,12,Sat-RSH,0.5757300107300107
gamma,2.5,4.5,13,Sat-RSH,0.5653556258556258
gamma,2.5,4.5,14,Sat-RSH,0.5642173937173938
gamma,2.5,4.5,15,Sat-RSH,0.5477080697080697
gamma,2.5,4.5,16,Sat-RSH,0.5757926147926148
gamma,2.5,4.5,17,Sat-RSH,0.5716121193621193
gamma,2.5,4.5,18,Sat-RSH,0.5446186961186961
gamma,2.5,4.5,19,Sat-RSH,0.5694762829762829
gamma,2.5,4.5,20,Sat-RSH,0.5594753764753765
gamma,2.5,4.5,21,Sat-RSH,0.5779626392126392
gamma,2.5,4.5,22,Sat-RSH,0.569069116069116
gamma,2.5,4.5,23,Sat-RSH,0.5794552114552115
gamma,2.5,4.5,24,Sat-RSH,0.5560971620971621
gamma,2.5,4.5,25,Sat-RSH,0.580574185074185
gamma,2.5,4.5,26,Sat-RSH,0.5699001184001183
gamma,2.5,4.5,27,Sat-RSH,0.5529704924704925
gamma,2.5,4.5,28,Sat-RSH,0.5434227994227994
gamma,2.5,4.5,29,Sat-RSH,0.5482382247382247
gamma,2.5,5.0,0,Sat-RSH,0.5609590409590409
gamma,2.5,5.0,1,Sat-RSH,0.5612418137418138
gamma,2.5,5.0,2,Sat-RSH,0.5755638065638066
gamma,2.5,5.0,3,Sat-RSH,0.5563844858844859
gamma,2.5,5.0,4,Sat-RSH,0.5659816109816109
gamma,2.5,5.0,5,Sat-RSH,0.5448182373182373
gamma,2.5,5.0,6,Sat-RSH,0.5552717097717097
gamma,2.5,5.0,7,Sat-RSH,0.5804924334924335
gamma,2.5,5.0,8,Sat-RSH,0.5520829170829171
gamma,2.5,5.0,9,Sat-RSH,0.561084804084804
gamma,2.5,5.0,10,Sat-RSH,0.5825400895400895
gamma,2.5,5.0,11,Sat-RSH,0.5629552484552485
gamma,2.5,5.0,12,Sat-RSH,0.5806922891922892
gamma,2.5,5.0,13,Sat-RSH,0.5789267399267399
gamma,2.5,5.0,14,Sat-RSH,0.5666588411588411
gamma,2.5,5.0,15,Sat-RSH,0.5487926517926518
gamma,2.5,5.0,16,Sat-RSH,0.5671182891182891
gamma,2.5,5.0,17,Sat-RSH,0.5717582232582233
gamma,2.5,5.0,18,Sat-RSH,0.5632936877936878
gamma,2.5,5.0,19,Sat-RSH,0.57547483997484
gamma,2.5,5.0,20,Sat-RSH,0.5737472527472528
gamma,2.5,5.0,21,Sat-RSH,0.5832491582491582
gamma,2.5,5.0,22,Sat-RSH,0.5693654123654124
gamma,2.5,5.0,23,Sat-RSH,0.547490416990417
gamma,2.5,5.0,24,Sat-RSH,0.5682868242868243
gamma,2.5,5.0,25,Sat-RSH,0.5524295519295519
gamma,2.5,5.0,26,Sat-RSH,0.5712836977836977
gamma,2.5,5.0,27,Sat-RSH,0.5558755133755133
gamma,2.5,5.0,28,Sat-RSH,0.5862750952750952
gamma,2.5,5.0,29,Sat-RSH,0.5654118844118844
gamma,3.0,1.0,0,Sat-RSH,0.565574074074074
gamma,3.0,1.0,1,Sat-RSH,0.6047751322751322
gamma,3.0,1.0,2,Sat-RSH,0.5746613756613757
gamma,3.0,1.0,3,Sat-RSH,0.5436801346801347
gamma,3.0,1.0,4,Sat-RSH,0.5890449735449735
gamma,3.0,1.0,5,Sat-RSH,0.5655502645502645
gamma,3.0,1.0,6,Sat-RSH,0.5290238095238096
gamma,3.0,1.0,7,Sat-RSH,0.5955317460317461
gamma,3.0,1.0,8,Sat-RSH,0.6339326599326599
gamma,3.0,1.0,9,Sat-RSH,0.6760978835978836
gamma,3.0,1.0,10,Sat-RSH,0.6041178451178452
gamma,3.0,1.0,11,Sat-RSH,0.6529550264550265
gamma,3.0,1.0,12,Sat-RSH,0.5580238095238095
gamma,3.0,1.0,13,Sat-RSH,0.6302513227513228
gamma,3.0,1.0,14,Sat-RSH,0.5837758537758537
gamma,3.0,1.0,15,Sat-RSH,0.5941409331409331
gamma,3.0,1.0,16,Sat-RSH,0.6140995670995671
gamma,3.0,1.0,17,Sat-RSH,0.6336705146705146
gamma,3.0,1.0,18,Sat-RSH,0.6172248677248677
gamma,3.0,1.0,19,Sat-RSH,0.599558201058201
gamma,3.0,1.0,20,Sat-RSH,0.5967486772486773
gamma,3.0,1.0,21,Sat-RSH,0.6477910052910053
gamma,3.0,1.0,22,Sat-RSH,0.6299523809523809
gamma,3.0,1.0,23,Sat-RSH,0.6191031746031745
gamma,3.0,1.0,24,Sat-RSH,0.6221673881673881
gamma,3.0,1.0,25,Sat-RSH,0.609648629148629
gamma,3.0,1.0,26,Sat-RSH,0.6086031746031746
gamma,3.0,1.0,27,Sat-RSH,0.5818703703703704
gamma,3.0,1.0,28,Sat-RSH,0.618568783068783
gamma,3.0,1.0,29,Sat-RSH,0.6333174603174604
gamma,3.0,1.5,0,Sat-RSH,0.6111142376142377
gamma,3.0,1.5,1,Sat-RSH,0.6316911976911977
gamma,3.0,1.5,2,Sat-RSH,0.6315889850889851
gamma,3.0,1.5,3,Sat-RSH,0.6146274651274651
gamma,3.0,1.5,4,Sat-RSH,0.5933465608465608
gamma,3.0,1.5,5,Sat-RSH,0.60303848003848
gamma,3.0,1.5,6,Sat-RSH,0.6446931216931217
gamma,3.0,1.5,7,Sat-RSH,0.5821373256373257
gamma,3.0,1.5,8,Sat-RSH,0.6428578643578643
gamma,3.0,1.5,9,Sat-RSH,0.6286349206349207
gamma,3.0,1.5,10,Sat-RSH,0.6042166907166907
gamma,3.0,1.5,11,Sat-RSH,0.6184935064935065
gamma,3.0,1.5,12,Sat-RSH,0.6147775372775373
gamma,3.0,1.5,13,Sat-RSH,0.623991341991342
gamma,3.0,1.5,14,Sat-RSH,0.5536041366041365
gamma,3.0,1.5,15,Sat-RSH,0.6033561808561809
gamma,3.0,1.5,16,Sat-RSH,0.6246063011063011
gamma,3.0,1.5,17,Sat-RSH,0.5864124579124579
gamma,3.0,1.5,18,Sat-RSH,0.6483407888407888
gamma,3.0,1.5,19,Sat-RSH,0.626905723905724
gamma,3.0,1.5,20,Sat-RSH,0.5877162097162097
gamma,3.0,1.5,21,Sat-RSH,0.654538961038961
gamma,3.0,1.5,22,Sat-RSH,0.6141147186147187
gamma,3.0,1.5,23,Sat-RSH,0.634507215007215
gamma,3.0,1.5,24,Sat-RSH,0.6238121693121692
gamma,3.0,1.5,25,Sat-RSH,0.6211594516594516
gamma,3.0,1.5,26,Sat-RSH,0.6339307359307359
gamma,3.0,1.5,27,Sat-RSH,0.6370406445406445
gamma,3.0,1.5,28,Sat-RSH,0.6287294372294373
gamma,3.0,1.5,29,Sat-RSH,0.6309456469456469
gamma,3.0,2.0,0,Sat-RSH,0.6062308802308802
gamma,3.0,2.0,1,Sat-RSH,0.5976931216931217
gamma,3.0,2.0,2,Sat-RSH,0.6230675805675805
gamma,3.0,2.0,3,Sat-RSH,0.6231269841269841
gamma,3.0,2.0,4,Sat-RSH,0.5888179413179413
gamma,3.0,2.0,5,Sat-RSH,0.5885271765271766
gamma,3.0,2.0,6,Sat-RSH,0.640965774965775
gamma,3.0,2.0,7,Sat-RSH,0.6057549302549302
gamma,3.0,2.0,8,Sat-RSH,0.6017111592111591
gamma,3.0,2.0,9,Sat-RSH,0.6250928330928331
gamma,3.0,2.0,10,Sat-RSH,0.6360637325637325
gamma,3.0,2.0,11,Sat-RSH,0.6067025012025012
gamma,3.0,2.0,12,Sat-RSH,0.5837121212121212
gamma,3.0,2.0,13,Sat-RSH,0.6065993265993266
gamma,3.0,2.0,14,Sat-RSH,0.5952424242424242
gamma,3.0,2.0,15,Sat-RSH,0.6312162097162097
gamma,3.0,2.0,16,Sat-RSH,0.632499037999038
gamma,3.0,2.0,17,Sat-RSH,0.665069264069264
gamma,3.0,2.0,18,Sat-RSH,0.6499992784992785
gamma,3.0,2.0,19,Sat-RSH,0.6166784511784511
gamma,3.0,2.0,20,Sat-RSH,0.6239581529581529
gamma,3.0,2.0,21,Sat-RSH,0.6082181337181337
gamma,3.0,2.0,22,Sat-RSH,0.6138104858104858
gamma,3.0,2.0,23,Sat-RSH,0.6221931216931217
gamma,3.0,2.0,24,Sat-RSH,0.5716905131905131
gamma,3.0,2.0,25,Sat-RSH,0.6193025493025494
gamma,3.0,2.0,26,Sat-RSH,0.6073518518518518
gamma,3.0,2.0,27,Sat-RSH,0.620959114959115
gamma,3.0,2.0,28,Sat-RSH,0.6231387686387687
gamma,3.0,2.0,29,Sat-RSH,0.6154951899951899
gamma,3.0,2.5,0,Sat-RSH,0.5972612387612387
gamma,3.0,2.5,1,Sat-RSH,0.6291265031265031
gamma,3.0,2.5,2,Sat-RSH,0.6272984607984609
gamma,3.0,2.5,3,Sat-RSH,0.5974369889369889
gamma,3.0,2.5,4,Sat-RSH,0.5864295334295334
gamma,3.0,2.5,5,Sat-RSH,0.6241916786916787
gamma,3.0,2.5,6,Sat-RSH,0.5986495911495912
gamma,3.0,2.5,7,Sat-RSH,0.5850620490620491
gamma,3.0,2.5,8,Sat-RSH,0.5935372775372776
gamma,3.0,2.5,9,Sat-RSH,0.6439862914862915
gamma,3.0,2.5,10,Sat-RSH,0.5866767676767677
gamma,3.0,2.5,11,Sat-RSH,0.5733487253487254
gamma,3.0,2.5,12,Sat-RSH,0.6305897065897066
gamma,3.0,2.5,13,Sat-RSH,0.5890969215969215
gamma,3.0,2.5,14,Sat-RSH,0.6246524771524772
gamma,3.0,2.5,15,Sat-RSH,0.6085921115921116
gamma,3.0,2.5,16,Sat-RSH,0.5912943722943723
gamma,3.0,2.5,17,Sat-RSH,0.5926402116402116
gamma,3.0,2.5,18,Sat-RSH,0.593538961038961
gamma,3.0,2.5,19,Sat-RSH,0.6061618566618566
gamma,3.0,2.5,20,Sat-RSH,0.601028379028379
gamma,3.0,2.5,21,Sat-RSH,0.5981402116402116
gamma,3.0,2.5,22,Sat-RSH,0.6158385318385319
gamma,3.0,2.5,23,Sat-RSH,0.5945637325637326
gamma,3.0,2.5,24,Sat-RSH,0.6056885521885522
gamma,3.0,2.5,25,Sat-RSH,0.6049761904761904
gamma,3.0,2.5,26,Sat-RSH,0.6027364487364487
gamma,3.0,2.5,27,Sat-RSH,0.5717782957782958
gamma,3.0,2.5,28,Sat-RSH,0.5943836718836719
gamma,3.0,2.5,29,Sat-RSH,0.5977575757575757
gamma,3.0,3.0,0,Sat-RSH,0.581977873977874
gamma,3.0,3.0,1,Sat-RSH,0.5701060606060606
gamma,3.0,3.0,2,Sat-RSH,0.6056582491582492
gamma,3.0,3.0,3,Sat-RSH,0.6306085211085212
gamma,3.0,3.0,4,Sat-RSH,0.6135655455655455
gamma,3.0,3.0,5,Sat-RSH,0.6147259037259037
gamma,3.0,3.0,6,Sat-RSH,0.5944167499167499
gamma,3.0,3.0,7,Sat-RSH,0.5799094794094795
gamma,3.0,3.0,8,Sat-RSH,0.5831863876863876
gamma,3.0,3.0,9,Sat-RSH,0.5826255411255411
gamma,3.0,3.0,10,Sat-RSH,0.585990268990269
gamma,3.0,3.0,11,Sat-RSH,0.5626651496651496
gamma,3.0,3.0,12,Sat-RSH,0.561954896954897
gamma,3.0,3.0,13,Sat-RSH,0.6066764531764531
gamma,3.0,3.0,14,Sat-RSH,0.5957599807599808
gamma,3.0,3.0,15,Sat-RSH,0.5969997594997595
gamma,3.0,3.0,16,Sat-RSH,0.5811390091390091
gamma,3.0,3.0,17,Sat-RSH,0.6101687571687572
gamma,3.0,3.0,18,Sat-RSH,0.6249949494949495
gamma,3.0,3.0,19,Sat-RSH,0.6192162097162097
gamma,3.0,3.0,20,Sat-RSH,0.6121599326599326
gamma,3.0,3.0,21,Sat-RSH,0.600980796980797
gamma,3.0,3.0,22,Sat-RSH,0.5954850889850889
gamma,3.0,3.0,23,Sat-RSH,0.5928453583453583
gamma,3.0,3.0,24,Sat-RSH,0.5683690198690199
gamma,3.0,3.0,25,Sat-RSH,0.5927152477152478
gamma,3.0,3.0,26,Sat-RSH,0.6033799903799903
gamma,3.0,3.0,27,Sat-RSH,0.5834350649350649
gamma,3.0,3.0,28,Sat-RSH,0.5798653198653199
gamma,3.0,3.0,29,Sat-RSH,0.6041124801124802
gamma,3.0,3.5,0,Sat-RSH,0.5802099012099012
gamma,3.0,3.5,1,Sat-RSH,0.5944627224627225
gamma,3.0,3.5,2,Sat-RSH,0.5853276723276724
gamma,3.0,3.5,3,Sat-RSH,0.5622247382247382
gamma,3.0,3.5,4,Sat-RSH,0.5751534391534391
gamma,3.0,3.5,5,Sat-RSH,0.5764030784030784
gamma,3.0,3.5,6,Sat-RSH,0.5864141414141415
gamma,3.0,3.5,7,Sat-RSH,0.5844301254301254
gamma,3.0,3.5,8,Sat-RSH,0.5785437710437711
gamma,3.0,3.5,9,Sat-RSH,0.5897923187923187
gamma,3.0,3.5,10,Sat-RSH,0.5658901653901655
gamma,3.0,3.5,11,Sat-RSH,0.5916936026936027
gamma,3.0,3.5,12,Sat-RSH,0.5920625300625301
gamma,3.0,3.5,13,Sat-RSH,0.5739983164983165
gamma,3.0,3.5,14,Sat-RSH,0.6123660783660784
gamma,3.0,3.5,15,Sat-RSH,0.5807563362563363
gamma,3.0,3.5,16,Sat-RSH,0.5961127576127576
gamma,3.0,3.5,17,Sat-RSH,0.5950045695045695
gamma,3.0,3.5,18,Sat-RSH,0.5988636363636364
gamma,3.0,3.5,19,Sat-RSH,0.5867385392385392
gamma,3.0,3.5,20,Sat-RSH,0.5758988233988234
gamma,3.0,3.5,21,Sat-RSH,0.557011026011026
gamma,3.0,3.5,22,Sat-RSH,0.6051036556036555
gamma,3.0,3.5,23,Sat-RSH,0.6124100529100529
gamma,3.0,3.5,24,Sat-RSH,0.5886305731305731
gamma,3.0,3.5,25,Sat-RSH,0.5768330743330743
gamma,3.0,3.5,26,Sat-RSH,0.5972491767491768
gamma,3.0,3.5,27,Sat-RSH,0.6140243645243645
gamma,3.0,3.5,28,Sat-RSH,0.5824605209605209
gamma,3.0,3.5,29,Sat-RSH,0.6015937950937951
gamma,3.0,4.0,0,Sat-RSH,0.5872018537018537
gamma,3.0,4.0,1,Sat-RSH,0.5824307359307359
gamma,3.0,4.0,2,Sat-RSH,0.5492028527028527
gamma,3.0,4.0,3,Sat-RSH,0.5553774558774559
gamma,3.0,4.0,4,Sat-RSH,0.5752462537462537
gamma,3.0,4.0,5,Sat-RSH,0.5718223443223444
gamma,3.0,4.0,6,Sat-RSH,0.5802934842934843
gamma,3.0,4.0,7,Sat-RSH,0.5968578088578088
gamma,3.0,4.0,8,Sat-RSH,0.5717972212972213
gamma,3.0,4.0,9,Sat-RSH,0.5825026455026454
gamma,3.0,4.0,10,Sat-RSH,0.5669955044955045
gamma,3.0,4.0,11,Sat-RSH,0.5772989232989233
gamma,3.0,4.0,12,Sat-RSH,0.5698536278536278
gamma,3.0,4.0,13,Sat-RSH,0.5809643874643875
gamma,3.0,4.0,14,Sat-RSH,0.586219807969808
gamma,3.0,4.0,15,Sat-RSH,0.5812646242646243
gamma,3.0,4.0,16,Sat-RSH,0.5637294372294372
gamma,3.0,4.0,17,Sat-RSH,0.5681705146705147
gamma,3.0,4.0,18,Sat-RSH,0.5810953860953861
gamma,3.0,4.0,19,Sat-RSH,0.5807216302216301
gamma,3.0,4.0,20,Sat-RSH,0.58956845006845
gamma,3.0,4.0,21,Sat-RSH,0.5853852998853
gamma,3.0,4.0,22,Sat-RSH,0.5739958744958745
gamma,3.0,4.0,23,Sat-RSH,0.5628694083694084
gamma,3.0,4.0,24,Sat-RSH,0.5754384319384319
gamma,3.0,4.0,25,Sat-RSH,0.580954785954786
gamma,3.0,4.0,26,Sat-RSH,0.5718384578384579
gamma,3.0,4.0,27,Sat-RSH,0.5837477522477522
gamma,3.0,4.0,28,Sat-RSH,0.573000518000518
gamma,3.0,4.0,29,Sat-RSH,0.5800077515077514
gamma,3.0,4.5,0,Sat-RSH,0.5736186961186961
gamma,3.0,4.5,1,Sat-RSH,0.568572557072557
gamma,3.0,4.5,2,Sat-RSH,0.5587268102268103
gamma,3.0,4.5,3,Sat-RSH,0.5713124098124098
gamma,3.0,4.5,4,Sat-RSH,0.5917087542087542
gamma,3.0,4.5,5,Sat-RSH,0.5643010878010878
gamma,3.0,4.5,6,Sat-RSH,0.5636097051097051
gamma,3.0,4.5,7,Sat-RSH,0.5800071595071595
gamma,3.0,4.5,8,Sat-RSH,0.5854996854996855
gamma,3.0,4.5,9,Sat-RSH,0.5952122507122507
gamma,3.0,4.5,10,Sat-RSH,0.5862455507455507
gamma,3.0,4.5,11,Sat-RSH,0.5965707995707996
gamma,3.0,4.5,12,Sat-RSH,0.5854071114071114
gamma,3.0,4.5,13,Sat-RSH,0.5660020535020535
gamma,3.0,4.5,14,Sat-RSH,0.558649517149517
gamma,3.0,4.5,15,Sat-RSH,0.5788109668109669
gamma,3.0,4.5,16,Sat-RSH,0.5720911125911126
gamma,3.0,4.5,17,Sat-RSH,0.5596763421763421
gamma,3.0,4.5,18,Sat-RSH,0.5416544936544937
gamma,3.0,4.5,19,Sat-RSH,0.5726625966625967
gamma,3.0,4.5,20,Sat-RSH,0.5618251933251933
gamma,3.0,4.5,21,Sat-RSH,0.5561105561105562
gamma,3.0,4.5,22,Sat-RSH,0.5948897768897768
gamma,3.0,4.5,23,Sat-RSH,0.5972009657009657
gamma,3.0,4.5,24,Sat-RSH,0.5507344507344507
gamma,3.0,4.5,25,Sat-RSH,0.5796366781366782
gamma,3.0,4.5,26,Sat-RSH,0.5699841084841085
gamma,3.0,4.5,27,Sat-RSH,0.5854465719465719
gamma,3.0,4.5,28,Sat-RSH,0.5520441225441225
gamma,3.0,4.5,29,Sat-RSH,0.5813924593924594
gamma,3.0,5.0,0,Sat-RSH,0.5650881710881711
gamma,3.0,5.0,1,Sat-RSH,0.5873367003367004
gamma,3.0,5.0,2,Sat-RSH,0.5778416028416028
gamma,3.0,5.0,3,Sat-RSH,0.5542923927923928
gamma,3.0,5.0,4,Sat-RSH,0.5666612646612647
gamma,3.0,5.0,5,Sat-RSH,0.5693499093499094
gamma,3.0,5.0,6,Sat-RSH,0.5578731268731268
gamma,3.0,5.0,7,Sat-RSH,0.5639899544899545
gamma,3.0,5.0,8,Sat-RSH,0.5724190439190439
gamma,3.0,5.0,9,Sat-RSH,0.5614945794945795
gamma,3.0,5.0,10,Sat-RSH,0.6026845746845747
gamma,3.0,5.0,11,Sat-RSH,0.5840847485847486
gamma,3.0,5.0,12,Sat-RSH,0.5845073445073445
gamma,3.0,5.0,13,Sat-RSH,0.570439837939838
gamma,3.0,5.0,14,Sat-RSH,0.5703335738335739
gamma,3.0,5.0,15,Sat-RSH,0.5900997705997706
gamma,3.0,5.0,16,Sat-RSH,0.5612953342953343
gamma,3.0,5.0,17,Sat-RSH,0.6028351648351647
gamma,3.0,5.0,18,Sat-RSH,0.5645795223295222
gamma,3.0,5.0,19,Sat-RSH,0.5881129426129426
gamma,3.0,5.0,20,Sat-RSH,0.5542788692788693
gamma,3.0,5.0,21,Sat-RSH,0.55404144004144
gamma,3.0,5.0,22,Sat-RSH,0.5779832759832759
gamma,3.0,5.0,23,Sat-RSH,0.5755814000814
gamma,3.0,5.0,24,Sat-RSH,0.5752756317756318
gamma,3.0,5.0,25,Sat-RSH,0.5818599918599919
gamma,3.0,5.0,26,Sat-RSH,0.5537342472342472
gamma,3.0,5.0,27,Sat-RSH,0.5867545232545233
gamma,3.0,5.0,28,Sat-RSH,0.576503404003404
gamma,3.0,5.0,29,Sat-RSH,0.5747694897694898
smax,2,1.0,0,Sat-RSH,0.007222222222222222
smax,2,1.0,1,Sat-RSH,0.01
smax,2,1.0,2,Sat-RSH,0.01888888888888889
smax,2,1.0,3,Sat-RSH,0.017777777777777778
smax,2,1.0,4,Sat-RSH,0.01
